пО миру
зА реку
нА реку
зА город
нЕ было
нЕ был
нЕ были
пОд ноги
зА уши
Из дому
на крюкУ
ни фигА
по утрУ
зА день
нА ночь
пО фиг
нА спор
нА пол
пО лбу
зА морем
пО морю
нА спину
нА слово
пО небу
за бортОм
нА фиг
зА ноги
нА зиму
друг дрУга
друг дрУгу
друг дрУгом
пО лесу
в ночИ
к утрУ
в лЕту
зА борт
зА нос
в мирУ
для начАла
с начАла
Об пол
зА руку
нА хрен
нА хуй
зА ухо
пО уху
нА сердце
зА зиму
с горлА
сО смеху
на шАру
по грязИ
нЕ фиг
пОд руку
нА руку
пО уши
нА хер
с утрА
на мазИ
со счетОв
зА душу
нИ было
нИ был
нИ были
вО поле
на мелИ
в мирУ
бЕз толку
нА ухо
пО полу
нА ноги
нА стену
зА спину
до кровИ
из горлА
с бортА
прИ смерти
нА руки
вО время
до упАду
нА год
нА день
нА крест
зА ночь
на парУ
дО смерти
нА голову
на пляжУ
до хренА
нА два
до утрА
зА щеку
